generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
GO000012-F0,NA,AHR 5uM BaP,AHR 5uM BaP-NA-Arena 9-4,208.941,230.091,230.836,206.347,205.34,210.304,168.164,204.284,175.254,208.295,224.521,210.898,183.491,282.463,211.176,201.019,210.98,233.384,214.82,241.242,278.133,177.297,215.898,227.065,246.147,265.136,279.879,262.763,202.64,194.848,253.224,247.387,275.895,244.376,219.167,219.314,34.574
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 10-1,159.223,164.811,152.671,138.982,142.146,139.166,154.465,145.052,141.197,145.788,134.648,149.79,183.386,152.549,134.223,146.388,166.712,169.553,162.439,168.83,137.59,135.353,138.422,133.399,133.255,184.124,134.19,133.862,126.313,118.286,143.922,119.026,115.848,135.949,121.02,131.995,30.209
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 10-2,273.847,230.951,268.968,179.52,255.697,337.595,252.071,240.254,358.379,228.198,177.407,180.068,180.578,201.53,278.019,263.529,194.535,214.746,178.027,200,182.928,209.46,184.987,167.643,191.064,242.804,182.848,192.348,183.16,175.462,180.29,146.023,139.501,162.719,177.289,201.446,19.202
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 11-1,221.123,267.297,169.201,142.523,185.061,210.115,194.136,164.508,214.816,215.292,237.421,206.916,244.242,212.802,188.82,226.197,214.174,220.676,198.42,248.918,234.903,196.02,168.269,184.064,166.901,177.356,197.056,194.964,194.866,181.772,170.624,164.631,220.131,254.771,208.872,211.313,41.778
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 11-2,401.851,363.033,328.841,419.188,297.201,336.21,276.108,255.789,344.034,263.839,268.447,343.89,303.788,230.783,223.176,239.014,242.445,231.589,224.692,241.509,231.887,175.199,142.354,193.455,232.978,270.579,200.62,231.588,229.057,244.941,261.285,214.876,227.218,254.377,304.353,268.172,27.244
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 12-1,191.625,245.733,220.238,191.98,214.317,198.232,139.176,158.83,163.895,163.648,155.365,175.859,232.883,163.518,167.301,178.591,184.453,189.431,164.684,169.381,188.209,203.458,184.874,180.48,184.412,198.876,162.285,161.851,171.441,182.452,163.014,143.894,124.239,150.788,146.596,165.326,36.584
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 12-2,262.21,281.389,285.593,222.209,276.107,362.669,249.948,222.618,226.546,235.102,227.049,241.437,230.593,232.333,248.83,221.475,231.937,207.427,260.158,251.585,243.941,254.496,404.236,272.235,256.319,224.261,219.818,227.337,258.239,212.977,248.232,231.62,232.689,266.206,222.553,211.206,36.931
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 13-1,214.538,216.9,184.541,208.242,187.283,162.499,136.814,179.636,224.128,224.971,190.011,195.369,186.859,196.521,110.697,217.703,231.587,201.799,144.96,200.652,158.805,139.346,195.538,165.835,184.595,189.7,177.174,142.07,206.906,176.677,156.825,165.358,162.756,133.083,141.292,155.323,44.452
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 13-2,275.684,243.202,225.222,208.282,221.982,245.781,238.323,205.047,231.816,97.085,177.8,164.771,167.582,230.532,149.12,197.977,244.192,190.828,216.13,176,171.195,136.234,165.885,141.47,212.826,173.446,135.463,206.848,180.967,177.855,242.991,177.298,187.695,175.756,142.82,147.026,32.087
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 14-1,196.537,162.985,161.248,169.717,152.906,169.085,160.785,172.912,158.517,120.294,163.911,139.987,175.666,179.84,201.299,141.118,74.944,82.162,108.478,116.114,130.712,182.898,161.575,116.651,117.807,114.119,78.87,93.783,72.011,86.2,87.278,103.203,117.795,117.226,102.076,102.149,16.512
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 14-2,312.549,238.763,258.569,218.115,213.832,219.971,213.73,210.599,224.211,265.032,257.277,174.519,154.099,154.071,162.915,150.464,156.164,153.839,166.159,144.414,170.934,191.488,233.696,209.041,159.722,159.613,170.149,226.493,189.863,171.945,165.241,178.671,166.081,189.752,180.93,174.936,20.958
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 15-1,239.451,214.867,200.473,200.393,202.847,194.702,204.461,238.192,236.089,219.438,194.651,199.447,205.044,222.966,204.055,182.127,236.851,210.398,230.923,220.964,216.404,215.573,260.707,205.047,215.63,192.143,224.415,198.112,206.482,193.061,208.135,257.515,204.291,187.046,207.599,188.428,35.096
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 15-2,325.126,283.529,291.986,270.628,259.782,262.191,244.464,296.236,245.059,218.649,240.787,240.888,230.561,178.906,189.579,206.738,245.713,202.329,196.222,194.073,205.78,205.779,230.287,198.778,190.24,206.574,191.702,209.498,196.187,207.107,216.804,216.322,209.433,261.769,233.565,186.968,40.193
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 16-1,250.493,216.237,329.102,266.379,266.828,261.013,220.864,271.677,302.356,297.291,283.823,317.863,282.925,247.902,225.03,260.411,316.082,348.514,275.952,257.835,270.867,297.414,320.676,408.412,423.649,345.466,294.495,325.224,267.512,288.086,311.722,334.322,313.731,330.769,288.79,357.9,73.889
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 16-2,202.202,192.423,182.89,215.769,217.741,172.019,178.61,169.151,192.653,205.702,188.183,214.629,195.367,297.665,258.514,303.354,151.014,155.847,183.452,249.431,181.141,155.183,241.356,344.19,205.055,241.157,175.827,275.076,324.66,214.434,232.828,245.433,283.723,192.866,141.494,148.365,31.076
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 5-1,162.493,141.83,163.85,170.993,115.972,119.29,125.668,243.144,192.243,125.891,120.263,126.304,150.58,118.082,113.227,101.008,151.474,131.376,117.729,116.695,138.327,129.007,117.7,125.615,193.581,107.388,183.665,103.392,117.95,141.696,128.116,126.81,130.724,123.971,122.454,113.388,25.602
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 5-2,246.449,222.3,297.872,292.771,255.567,281.065,166.88,175.124,165.787,153.063,145.932,157.546,129.031,132.121,138.456,119.921,116.357,104.427,82.103,81.754,66.543,105.373,84.492,95.326,177.712,261.682,264.847,283.041,264.464,214.12,166.654,119.495,123.543,140.493,122.458,130.363,18.405
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 6-1,187.445,190.341,206.295,392.319,291.91,139.317,255.233,175.144,205.244,270.663,159.496,207.523,166.576,187.741,150.917,218.793,231.056,190.455,276.536,217.608,271.445,299.779,211.384,244.177,187.249,130.69,158.023,197.769,149.154,199.551,162.599,223.356,193.032,134.767,139.613,173.087,28.141
GO000012-F0,NA,AHR DMSO,AHR DMSO-NA-Arena 6-2,275.635,360.911,259.631,199.969,255.856,263.492,219.524,285.647,312.003,221.808,195.045,226.848,180.047,188.313,215.873,318.998,187.523,251.86,244.728,220.118,253.452,211.123,219.071,312.311,247.908,236.747,182.293,246.163,250.432,157.627,245.227,305.758,236.16,309.696,221.183,199.782,33.868
