generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 4-24,452.596,380.322,131.345,6.319,6.533,0,1.497,324.965,435.698,2.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 4-40,345.856,387.721,344.735,291.614,414.722,458.423,451.691,510.038,479.791,373.484,346.905,440.83,541.438,519.923,481.842,485.709,429.309,459.164,355.451,340.426,404.446,407.165,489.467,469.968,426.834,426.701,310.348,452.941,506.69,426.855
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 4-8,706.7,644.282,684.559,568.136,539.318,633.197,675.704,669.974,659.056,610.073,634.901,591.414,619.767,648.081,542.799,453.315,486.073,474.521,455.711,456.953,406.423,379.938,450.634,554.979,681.835,691.584,691.933,705.312,703.195,726.239
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 7-11,550.524,517.622,539.521,498.118,580.836,571.49,540.934,534.67,687.202,643.055,658.067,608.376,556.965,502.371,570.129,509.771,562.284,554.559,581.599,566.047,636.695,561.9,534.711,693.914,621.211,701.957,579.841,656.993,571.543,701.52
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 7-27,485.49,393.761,419.927,416.66,471.4,547.025,537.107,571.503,510.01,496.985,434.371,530.839,452.063,392.756,428.575,394.48,348.463,531.223,503.598,454.747,344.064,316.521,337.931,380.547,321.571,317.654,339.603,330.156,396.25,368.921
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 7-43,699.417,401.616,401.701,414.02,445.561,304.162,413.225,617.582,654.936,611.74,439.009,306.519,306.04,614.247,645.758,695.599,324.255,274.96,383.758,220.061,180.884,163.081,152.035,180.364,215.051,411.684,358.803,549.28,513.203,509.001
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 8-12,624.006,556.016,421.073,484.391,445.572,416.95,599.609,667.047,537.168,563.732,427.716,524.7,398.219,308.114,275.955,293.848,324.07,367.757,342.606,416.564,465.356,429.25,498.931,286.893,246.136,262.322,282.182,250.076,340.782,286.802
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 8-28,549.661,669.259,584.773,607.986,587.688,504.48,438.122,476.257,650.862,527.317,377.896,275.933,472.18,548.335,313.464,251.792,435.091,629.004,635.235,651.562,614.282,626.102,612.154,623.631,605.146,610.115,599.506,641.892,638.307,594.153
GO000012-F2,M,AHR 5然 Bap,AHR 5然 Bap-M-Arena 8-44,271.188,209.71,254.259,254.797,259.293,252.759,253.735,249.249,239.092,242.657,249.305,254.198,177.461,169.352,207.673,146.53,157.68,178.002,248.789,198.87,212.551,152.038,178.636,220.732,258.444,247.523,225.038,200.453,157.101,143.823
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 1-25,341.381,335.449,388.241,387.272,365.114,508.624,403.396,424.815,417.48,365.323,402.733,438.271,412.663,399.131,383.874,416.98,457.937,368.166,459.826,439.557,434.818,445.685,420.009,426.563,428.022,390.462,414.138,388.944,395.464,365.721
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 1-41,399.324,453.559,359.881,485.478,429.249,335.415,475.369,399.415,514.415,449.777,441.917,446.968,460.154,453.768,389.505,412.696,358.729,385.614,374.049,368.173,403.361,378.357,499.175,434.606,419.07,368.936,403.393,381.532,386.381,412.848
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 1-9,335.414,298.173,289.318,313.818,303.558,377.419,374.691,367.799,338.436,305.715,317.575,312.528,265.991,307.564,377.513,351.865,339.761,353.84,302.315,305.968,330.967,320.124,325.525,336.35,342.094,330.508,287.559,306.916,327.958,332.067
