"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"58"	"BaP_0680"	"BaP_0680"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	63	"Fecal"	"s352"	40	1.391
"59"	"BaP_0781"	"BaP_0781"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	64	"Fecal"	"s353"	36.5	0.756
"60"	"BaP_0782"	"BaP_0782"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	65	"Fecal"	"s354"	35.5	1.006
"61"	"BaP_0783"	"BaP_0783"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	66	"Fecal"	"s355"	34.5	0.917
"62"	"BaP_0784"	"BaP_0784"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	67	"Fecal"	"s356"	39	1.425
"63"	"BaP_0785"	"BaP_0785"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	68	"Fecal"	"s357"	37	0.822
"64"	"BaP_0786"	"BaP_0786"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	69	"Fecal"	"s358"	38	1.201
"65"	"BaP_0787"	"BaP_0787"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	70	"Fecal"	"s359"	36	0.78
"66"	"BaP_0788"	"BaP_0788"	"CoMo_BaP"	"F2"	"F"	"CoMo"	"BaP"	71	"Fecal"	"s360"	35.5	0.893
"67"	"BaP_0457"	"BaP_0457"	"CoMo_BaP"	"F2"	"M"	"CoMo"	"BaP"	72	"Fecal"	"s361"	33	0.721
"68"	"BaP_0458"	"BaP_0458"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	73	"Fecal"	"s362"	42	1.569
"69"	"BaP_0459"	"BaP_0459"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	74	"Fecal"	"s363"	39.5	1.199
"70"	"BaP_0460"	"BaP_0460"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	75	"Fecal"	"s364"	38	1.461
"71"	"BaP_0461"	"BaP_0461"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	76	"Fecal"	"s365"	32	0.638
"72"	"BaP_0462"	"BaP_0462"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	77	"Fecal"	"s366"	40.5	1.28
"73"	"BaP_0463"	"BaP_0463"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	78	"Fecal"	"s367"	37	0.941
"74"	"BaP_0464"	"BaP_0464"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	79	"Fecal"	"s368"	35	1.285
"75"	"BaP_0565"	"BaP_0565"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	80	"Fecal"	"s369"	30	0.68
"76"	"BaP_0566"	"BaP_0566"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	81	"Fecal"	"s370"	38	1.16
"77"	"BaP_0567"	"BaP_0567"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	82	"Fecal"	"s371"	30.5	0.57
"78"	"BaP_0568"	"BaP_0568"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	83	"Fecal"	"s372"	38	1.372
"79"	"BaP_0569"	"BaP_0569"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	84	"Fecal"	"s373"	34	0.742
"80"	"BaP_0570"	"BaP_0570"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	85	"Fecal"	"s374"	38	1.619
"81"	"BaP_0571"	"BaP_0571"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	86	"Fecal"	"s375"	38.5	0.939
"82"	"BaP_0572"	"BaP_0572"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	87	"Fecal"	"s376"	39	1.492
"83"	"BaP_0889"	"BaP_0889_25"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	88	"Fecal"	"s377"	32	0.514
"84"	"BaP_0890"	"BaP_0890_26"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	89	"Fecal"	"s378"	38	1.108
"85"	"BaP_0891"	"BaP_0891_27"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	90	"Fecal"	"s379"	37	0.971
"86"	"BaP_0893"	"BaP_0893_29"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	91	"Fecal"	"s380"	38	1.091
"87"	"BaP_0895"	"BaP_0895_31"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	92	"Fecal"	"s381"	30.5	0.571
"88"	"BaP_0897"	"BaP_0897_33"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	93	"Fecal"	"s382"	38.5	1.505
"89"	"BaP_0899"	"BaP_0899_35"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	94	"Fecal"	"s383"	31.5	0.637
"90"	"BaP_0961"	"BaP_0961_61"	"AHR2Mo_DMSO"	"F2"	"F"	"AHR2Mo"	"DMSO"	95	"Fecal"	"s385"	39	1.171
"91"	"BaP_0962"	"BaP_0962_62"	"AHR2Mo_DMSO"	"F2"	"M"	"AHR2Mo"	"DMSO"	96	"Fecal"	"s386"	35	0.754
