"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"62"	"BaP_0882"	"BaP_0882_18"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	62	"Fecal"	"s064"	34	0.7
"63"	"BaP_0883"	"BaP_0883_19"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	63	"Fecal"	"s065"	36	0.92
"64"	"BaP_0884"	"BaP_0884_20"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	64	"Fecal"	"s066"	34	1.18
"65"	"BaP_0885"	"BaP_0885_21"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	65	"Fecal"	"s067"	33	1.19
"66"	"BaP_0886"	"BaP_0886_22"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	66	"Fecal"	"s068"	32	0.87
"67"	"BaP_0887"	"BaP_0887_23"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	67	"Fecal"	"s069"	31	0.65
"68"	"BaP_0888"	"BaP_0888_24"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	68	"Fecal"	"s070"	37	0.77
"69"	"BaP_0953"	"BaP_0953_53"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	69	"Fecal"	"s071"	31	0.97
"70"	"BaP_0954"	"BaP_0954_54"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	70	"Fecal"	"s072"	32	0.57
"71"	"BaP_0955"	"BaP_0955_55"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	71	"Fecal"	"s073"	31	0.92
"72"	"BaP_0956"	"BaP_0956_56"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	72	"Fecal"	"s074"	32	0.85
"73"	"BaP_0957"	"BaP_0957_57"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	73	"Fecal"	"s075"	36	0.68
"74"	"BaP_0958"	"BaP_0958_58"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	74	"Fecal"	"s076"	37	0.63
"75"	"BaP_0959"	"BaP_0959_59"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	75	"Fecal"	"s077"	33	1.06
"76"	"BaP_0960"	"BaP_0960_60"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	76	"Fecal"	"s078"	31	0.42
"77"	"BaP_1025"	"BaP_1025_89"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	77	"Fecal"	"s079"	34	1.09
"78"	"BaP_1026"	"BaP_1026_90"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	78	"Fecal"	"s080"	31	0.59
"79"	"BaP_1027"	"BaP_1027_91"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	79	"Fecal"	"s081"	36	0.83
"80"	"BaP_1028"	"BaP_1028_92"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	80	"Fecal"	"s082"	34	0.81
"81"	"BaP_1029"	"BaP_1029_93"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	81	"Fecal"	"s083"	35	0.96
"82"	"BaP_1030"	"BaP_1030_94"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	82	"Fecal"	"s084"	29	0.49
"83"	"BaP_1031"	"BaP_1031_95"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	83	"Fecal"	"s085"	38	1.19
"84"	"BaP_1032"	"BaP_1032_96"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	84	"Fecal"	"s086"	34	0.53
"85"	"BaP_1097"	"BaP_1097_125"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	85	"Fecal"	"s087"	36	0.97
"86"	"BaP_1098"	"BaP_1098_126"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	86	"Fecal"	"s088"	33	0.52
"87"	"BaP_1099"	"BaP_1099_127"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	87	"Fecal"	"s089"	34	0.88
"88"	"BaP_1100"	"BaP_1100_128"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	88	"Fecal"	"s090"	37	0.87
"89"	"BaP_1101"	"BaP_1101_129"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	89	"Fecal"	"s091"	35	1.03
"90"	"BaP_1102"	"BaP_1102_130"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	90	"Fecal"	"s092"	34	0.72
"91"	"BaP_1103"	"BaP_1103_131"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	91	"Fecal"	"s093"	31	0.59
"92"	"BaP_1104"	"BaP_1104_132"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	92	"Fecal"	"s094"	35	0.81
"93"	"BaP_0003"	"BaP_0003"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	93	"Fecal"	"s097"	38	1.58
"94"	"BaP_0004"	"BaP_0004"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	94	"Fecal"	"s098"	37	0.85
