generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F1,AHRMo_DMSO,AHR DMSO-Arena 3-0752020-1134,4.531,3.653,4.15,4.253,4.319,4.142,4.12,2.987,3.667,4.2,4.546,3.59,4.142,4.117,4.303,3.856,4.011,4.644,4.459,4.024,4.241,4.539,4.261,4.332,4.524,4.02,4.123,4.337,4.438
F1,AHRMo_DMSO,AHR DMSO-Arena 4-07062020-540,3.044,2.962,3.395,3.354,3.23,3.591,3.269,3.21,3.227,3.424,2.821,3.607,3.143,2.974,3.494,3.452,3.674,3.422,3.486,3.514,3.518,3.373,3.509,3.312,3.592,3.905,3.176,3.064,3.363
F1,AHRMo_DMSO,AHR DMSO-Arena 5-0752020-1227,4.376,4.456,4.481,4.663,4.263,4.54,4.389,4.424,3.958,4.324,4.741,4.474,4.353,4.849,4.363,4.611,4.64,4.645,4.037,4.914,4.544,4.695,4.632,3.894,3.918,4.09,3.717,4.717,4.477
F1,AHRMo_DMSO,AHR DMSO-Arena 8-0752020-1134,3.992,4.254,4.68,4.563,4.476,4.477,3.879,4.093,3.625,3.702,4.283,3.831,4.645,4.311,4.391,4.124,4.551,4.099,4.115,4.119,4.57,4.934,4.384,4.745,3.904,4.826,4.748,4.051,4.699
F1,CoMo _BaP,COMO 5µM Bap-Arena 1-0752020-528,3.474,3.861,3.991,3.424,4.353,3.927,3.575,3.894,3.773,6.591,4.64,4.97,5.113,4.595,3.819,3.536,3.936,4.445,4.13,3.809,3.619,4.07,4.154,3.889,4.059,4.636,4.275,3.752,NA
F1,CoMo _BaP,COMO 5µM Bap-Arena 1-0752020-124,3.602,3.612,3.285,3.883,3.627,4.04,3.645,3.443,3.078,3.717,3.565,4.515,4.344,3.801,3.191,4.671,4.993,4.65,4.123,4.659,4.484,4.36,4.326,4.622,4.662,4.957,4.433,4.281,4.951
F1,CoMo _BaP,COMO 5µM Bap-Arena 2-07062020-540,2.801,3.522,2.61,3.214,3.245,3.718,2.819,2.562,3.248,3.641,4.306,4.033,2.833,4.106,2.563,4.286,3.782,3.678,2.834,3.309,3.335,3.891,3.561,3.976,4.261,3.74,3.972,3.471,2.758
F1,CoMo _BaP,COMO 5µM Bap-Arena 2-0752020-1134,3.485,4.098,3.794,3.89,4.272,3.578,4.032,4.053,3.387,3.745,4.306,4.337,4.136,3.887,3.232,4.181,3.808,3.43,4.568,4.945,4.896,4.832,4.183,4.335,3.432,4.124,4.172,4.449,4.745
F1,CoMo _BaP,COMO 5µM Bap-Arena 3-07062020-540,3.793,4.052,3.798,3.782,3.574,3.712,3.78,3.831,3.644,3.882,4.077,3.481,3.497,3.478,3.838,3.584,3.26,4.119,4.627,3.945,4.471,4.246,4.117,4.104,4.063,4.381,4.019,3.728,4.271
F1,CoMo _BaP,COMO 5µM Bap-Arena 3-0752020-225,4.55,4.585,4.703,4.196,4.536,4.489,4.254,4.585,5.045,4.166,4.736,4.59,4.828,4.116,4.635,4.858,4.913,4.252,4.763,4.246,4.597,5.408,4.908,4.62,4.355,4.653,3.865,4.35,4.696
F1,CoMo _BaP,COMO 5µM Bap-Arena 4-0752020-528,3.985,3.526,3.591,4.481,4.455,4.024,3.621,3.456,3.737,3.987,3.907,3.982,3.748,3.236,3.768,3.616,3.523,4.217,4.208,4.153,4.044,2.886,3.409,3.821,4.024,3.601,3.732,3.928,NA
F1,CoMo _BaP,COMO 5µM Bap-Arena 4-0752020-1227,4.194,4.618,4.219,4.669,4.347,4.607,4.812,4.576,5.541,5.342,5.036,5.524,5.34,4.997,5.802,5.445,4.35,5.674,4.999,4.088,5.441,5.818,5.167,5.784,4.294,5.493,5.288,6.15,5.831
F1,CoMo _BaP,COMO 5µM Bap-Arena 4-0752020-225,3.846,3.745,3.902,3.566,3.967,3.56,4.376,4.587,4.754,4.158,4.545,5.424,4.324,5.006,4.706,4.474,4.706,4.717,4.866,4.784,4.948,4.718,4.95,5.044,4.595,4.62,4.908,3.946,5.093
F1,CoMo _BaP,COMO 5µM Bap-Arena 5-0752020-124,3.698,4.615,3.767,3.753,3.937,4.558,4.159,4.034,4.424,4.064,4.338,4.562,4.71,5.079,5.666,5.131,4.773,4.464,4.197,4.562,2.972,3.572,3.269,3.313,3.141,2.928,3.742,3.659,3.878
F1,CoMo _BaP,COMO 5µM Bap-Arena 7-0752020-1134,2.657,3.232,2.722,3.464,3.829,3.807,3.019,3.475,3.615,3.793,3.844,3.865,3.34,3.267,3.771,3.761,4.248,4.447,3.963,4.619,4.923,4.382,4.028,3.391,4.292,3.863,3.112,3.458,3.713
F1,CoMo _BaP,COMO 5µM Bap-Arena 8-0752020-1227,3.732,3.495,3.909,4.103,4.472,4.2,4.212,4.336,5.154,4.997,4.357,4.653,4.242,4.952,4.726,4.235,5.049,4.751,4.285,4.74,4.207,4.19,4.615,4.609,4.03,4.483,4.768,4.94,4.408
F1,CoMo_DMSO,COMO DMSO-Arena 1-07062020-540,3.816,3.641,4.101,3.915,4.088,3.877,3.781,4.542,4.337,3.652,3.944,4.309,4.053,4.935,4.528,4.834,5.042,6.001,5.331,5.113,5.613,6.069,5.576,4.203,5.35,4.951,5.199,4.124,4.891
F1,CoMo_DMSO,COMO DMSO-Arena 1-0752020-1134,3.79,3.919,4.299,4.132,4.469,4.455,4.38,4.67,4.23,3.932,3.202,4.245,3.807,3.983,4.531,4.353,4.45,4.519,4.432,4.96,4.321,4.453,4.121,4.72,4.359,4.815,4.112,3.914,5.071
